author_id,total_tweets,retweet_count,original_count,retweet_dependency,dependency_label
734695549623013376,45,45,0,100.0,100.0%
1029382765664501762,45,45,0,100.0,100.0%
1171942468281143297,45,45,0,100.0,100.0%
320226498,44,44,0,100.0,100.0%
411327192,44,44,0,100.0,100.0%
487890846,44,44,0,100.0,100.0%
967470582,44,44,0,100.0,100.0%
2824870696,44,44,0,100.0,100.0%
3052186942,44,44,0,100.0,100.0%
3347414399,44,44,0,100.0,100.0%
3381943102,44,44,0,100.0,100.0%
3384857398,44,44,0,100.0,100.0%
3556287095,44,44,0,100.0,100.0%
795276563453452288,44,44,0,100.0,100.0%
917051396083548160,44,44,0,100.0,100.0%
1018832457045508098,44,44,0,100.0,100.0%
1062397828650164227,44,44,0,100.0,100.0%
37820726,43,43,0,100.0,100.0%
77244461,43,43,0,100.0,100.0%
185500736,43,43,0,100.0,100.0%
285631853,43,43,0,100.0,100.0%
323093793,43,43,0,100.0,100.0%
2321376853,43,43,0,100.0,100.0%
2426805464,43,43,0,100.0,100.0%
716175590903181312,43,43,0,100.0,100.0%
821862778713632768,43,43,0,100.0,100.0%
832230774766239744,43,43,0,100.0,100.0%
1458409773532073984,43,43,0,100.0,100.0%
1525141560291168256,43,43,0,100.0,100.0%
186983845,42,42,0,100.0,100.0%
380492869,42,42,0,100.0,100.0%
396715579,42,42,0,100.0,100.0%
526231674,42,42,0,100.0,100.0%
1287844230,42,42,0,100.0,100.0%
2314380031,42,42,0,100.0,100.0%
4083958707,42,42,0,100.0,100.0%
4106131523,42,42,0,100.0,100.0%
701040526305402880,42,42,0,100.0,100.0%
1114692838128848896,42,42,0,100.0,100.0%
1333435264878997504,42,42,0,100.0,100.0%
149799453,41,41,0,100.0,100.0%
379851891,41,41,0,100.0,100.0%
417999987,41,41,0,100.0,100.0%
936327258,41,41,0,100.0,100.0%
2215533696,41,41,0,100.0,100.0%
951148448048349185,41,41,0,100.0,100.0%
1061224711546437632,41,41,0,100.0,100.0%
1215308854457749509,41,41,0,100.0,100.0%
1273337937187520513,41,41,0,100.0,100.0%
103813472,40,40,0,100.0,100.0%
208209211,40,40,0,100.0,100.0%
250250236,40,40,0,100.0,100.0%
299740922,40,40,0,100.0,100.0%
303361860,40,40,0,100.0,100.0%
338206513,40,40,0,100.0,100.0%
623845970,40,40,0,100.0,100.0%
3099039459,40,40,0,100.0,100.0%
846768106852769792,40,40,0,100.0,100.0%
853605033887313920,40,40,0,100.0,100.0%
931899205140041730,40,40,0,100.0,100.0%
1004300690674548736,40,40,0,100.0,100.0%
1083021225469857797,40,40,0,100.0,100.0%
20022624,39,39,0,100.0,100.0%
86578045,39,39,0,100.0,100.0%
129777613,39,39,0,100.0,100.0%
403956304,39,39,0,100.0,100.0%
763336316,39,39,0,100.0,100.0%
1053241843,39,39,0,100.0,100.0%
2498046205,39,39,0,100.0,100.0%
2639228129,39,39,0,100.0,100.0%
2792405680,39,39,0,100.0,100.0%
3035210321,39,39,0,100.0,100.0%
3363802109,39,39,0,100.0,100.0%
3963004161,39,39,0,100.0,100.0%
777926344650985472,39,39,0,100.0,100.0%
967754474063351808,39,39,0,100.0,100.0%
1023583152038703105,39,39,0,100.0,100.0%
1408707709512392704,39,39,0,100.0,100.0%
383141414,38,38,0,100.0,100.0%
403446518,38,38,0,100.0,100.0%
849355920,38,38,0,100.0,100.0%
2591252302,38,38,0,100.0,100.0%
2922984430,38,38,0,100.0,100.0%
913404686228754434,38,38,0,100.0,100.0%
1155487034338885633,38,38,0,100.0,100.0%
1330205250091933697,38,38,0,100.0,100.0%
18428653,37,37,0,100.0,100.0%
88194768,37,37,0,100.0,100.0%
102350655,37,37,0,100.0,100.0%
135412825,37,37,0,100.0,100.0%
334509703,37,37,0,100.0,100.0%
395159100,37,37,0,100.0,100.0%
614509698,37,37,0,100.0,100.0%
2163466040,37,37,0,100.0,100.0%
2835514925,37,37,0,100.0,100.0%
3289034940,37,37,0,100.0,100.0%
3471679877,37,37,0,100.0,100.0%
698286320192524288,37,37,0,100.0,100.0%
715880055617036289,37,37,0,100.0,100.0%
1346965290337271809,37,37,0,100.0,100.0%
